metric_mse_loss_SI_only,0.17782339453697205,,300to400,600,None
metric_mse_loss_SI_only,0.19476382434368134,,300to400,600,None
mse_SI_only,0.0548,rsquare_SI_only,-0.5193,rsquare_all_features,0.7895,mae_mse_rmse_mape_mspe_rse,0.18386336, 0.05475599, 0.23399998, 7.3442464, 371.44022, 1.232611,run1,300to400,1000,None
mse_SI_only,0.0615,rsquare_SI_only,-0.7052,rsquare_all_features,0.7722,mae_mse_rmse_mape_mspe_rse,0.20481019, 0.061454147, 0.24789947, 13.578611, 1457.0968, 1.3058274,run1,200to400,1000,None
mse_SI_only,0.0449,rsquare_SI_only,-0.2467,rsquare_all_features,0.8624,mae_mse_rmse_mape_mspe_rse,0.16915233, 0.044928804, 0.21196416, 6.2480197, 229.77592, 1.1165358,run1,100to400,1000,None
mse_SI_only,0.0322,rsquare_SI_only,0.1075,rsquare_all_features,0.9229,mae_mse_rmse_mape_mspe_rse,0.1557545, 0.032164704, 0.1793452, 9.805795, 717.98895, 0.94471323,run1,000to400,1000,None
mse_SI_only,0.0607,rsquare_SI_only,-1.1341,rsquare_all_features,0.9641,mae_mse_rmse_mape_mspe_rse,0.19503556, 0.060659792, 0.24629208, 5.9623938, 285.47144, 1.4608477,run2,300to400,1000,None
mse_SI_only,0.0568,rsquare_SI_only,-0.9968,rsquare_all_features,0.9448,mae_mse_rmse_mape_mspe_rse,0.18428078, 0.056756407, 0.23823602, 3.5917845, 56.99157, 1.4130642,run2,200to400,1000,None
mse_SI_only,0.0847,rsquare_SI_only,-1.9809,rsquare_all_features,0.9376,mae_mse_rmse_mape_mspe_rse,0.2350389, 0.084730394, 0.29108486, 6.4496627, 190.15955, 1.72653,run2,100to400,1000,None
mse_SI_only,0.0671,rsquare_SI_only,-1.3605,rsquare_all_features,0.9709,mae_mse_rmse_mape_mspe_rse,0.20492536, 0.06709657, 0.25903004, 2.7972813, 20.643845, 1.5364014,run2,000to400,1000,None
mse_SI_only,0.0507,rsquare_SI_only,-1.3655,rsquare_all_features,0.9872,mae_mse_rmse_mape_mspe_rse,0.19354977, 0.050661378, 0.22508082, 8.410311, 480.7823, 1.5380316,run3,300to400,1000,None
mse_SI_only,0.0485,rsquare_SI_only,-1.263,rsquare_all_features,0.9666,mae_mse_rmse_mape_mspe_rse,0.18997559, 0.048465997, 0.22014995, 8.820284, 482.46298, 1.5043375,run3,200to400,1000,None
mse_SI_only,0.0403,rsquare_SI_only,-0.8798,rsquare_all_features,0.9774,mae_mse_rmse_mape_mspe_rse,0.16294937, 0.040257502, 0.20064272, 6.7538004, 391.25757, 1.37104,run3,100to400,1000,None
